placeDcid,placeName,Date:Annual_Consumption_Electricity,Value:Annual_Consumption_Electricity,Source:Annual_Consumption_Electricity,Date:Annual_Emissions_CarbonDioxideEquivalent100YearGlobalWarmingPotential_ElectricityGeneration,Value:Annual_Emissions_CarbonDioxideEquivalent100YearGlobalWarmingPotential_ElectricityGeneration,Source:Annual_Emissions_CarbonDioxideEquivalent100YearGlobalWarmingPotential_ElectricityGeneration,Date:Annual_Emissions_CarbonDioxideEquivalent20YearGlobalWarmingPotential_ElectricityGeneration,Value:Annual_Emissions_CarbonDioxideEquivalent20YearGlobalWarmingPotential_ElectricityGeneration,Source:Annual_Emissions_CarbonDioxideEquivalent20YearGlobalWarmingPotential_ElectricityGeneration,Date:Annual_Emissions_CarbonDioxide_ElectricityGeneration,Value:Annual_Emissions_CarbonDioxide_ElectricityGeneration,Source:Annual_Emissions_CarbonDioxide_ElectricityGeneration,Date:Annual_Loss_Electricity,Value:Annual_Loss_Electricity,Source:Annual_Loss_Electricity
country/AFG,Afghanistan,2019,4850000000,https://unstats.un.org/unsd/energystats/data/,2021,128000,https://api.climatetrace.org/,2021,128000,https://api.climatetrace.org/,2021,128000,https://api.climatetrace.org/,2019,800000000,https://unstats.un.org/unsd/energystats/data/
country/ARE,United Arab Emirates,2018,122836000000,https://unstats.un.org/unsd/energystats/data/,2021,92567000,https://api.climatetrace.org/,2021,92567000,https://api.climatetrace.org/,2021,92567000,https://api.climatetrace.org/,2018,8436000000,https://unstats.un.org/unsd/energystats/data/
country/ARM,Armenia,2018,5402561000,https://unstats.un.org/unsd/energystats/data/,2021,1845000,https://api.climatetrace.org/,2021,1845000,https://api.climatetrace.org/,2021,1845000,https://api.climatetrace.org/,2018,611435000,https://unstats.un.org/unsd/energystats/data/
country/AZE,Azerbaijan,2018,17811500000,https://unstats.un.org/unsd/energystats/data/,2021,16250000,https://api.climatetrace.org/,2021,16250000,https://api.climatetrace.org/,2021,16250000,https://api.climatetrace.org/,2018,2219800000,https://unstats.un.org/unsd/energystats/data/
country/BGD,Bangladesh,2018,70409000000,https://unstats.un.org/unsd/energystats/data/,2021,45185000,https://api.climatetrace.org/,2021,45185000,https://api.climatetrace.org/,2021,45185000,https://api.climatetrace.org/,2018,8447200000,https://unstats.un.org/unsd/energystats/data/
country/BHR,Bahrain,2018,28987000000,https://unstats.un.org/unsd/energystats/data/,2021,22078000,https://api.climatetrace.org/,2021,22078000,https://api.climatetrace.org/,2021,22078000,https://api.climatetrace.org/,2018,540000000,https://unstats.un.org/unsd/energystats/data/
country/BRN,Brunei,2018,3250000000,https://unstats.un.org/unsd/energystats/data/,2021,3665000,https://api.climatetrace.org/,2021,3665000,https://api.climatetrace.org/,2021,3665000,https://api.climatetrace.org/,2017,481000000,https://unstats.un.org/unsd/energystats/data/
country/BTN,Bhutan,2019,2449720000,https://unstats.un.org/unsd/energystats/data/,,,,,,,,,,2018,277000000,https://unstats.un.org/unsd/energystats/data/
country/CHN,China,2018,6000960000000,https://unstats.un.org/unsd/energystats/data/,2021,4816495000,https://api.climatetrace.org/,2021,4816495000,https://api.climatetrace.org/,2021,4816495000,https://api.climatetrace.org/,2018,335171000000,https://unstats.un.org/unsd/energystats/data/
country/CYP,Cyprus,2018,4664000000,https://unstats.un.org/unsd/energystats/data/,2021,3317000,https://api.climatetrace.org/,2021,3317000,https://api.climatetrace.org/,2021,3317000,https://api.climatetrace.org/,2017,228000000,https://unstats.un.org/unsd/energystats/data/
country/EGY,Egypt,2018,165610000000,https://unstats.un.org/unsd/energystats/data/,2021,103722000,https://api.climatetrace.org/,2021,103722000,https://api.climatetrace.org/,2021,103722000,https://api.climatetrace.org/,2018,22056000000,https://unstats.un.org/unsd/energystats/data/
country/GEO,Georgia,2018,11937300000,https://unstats.un.org/unsd/energystats/data/,2021,1497000,https://api.climatetrace.org/,2021,1497000,https://api.climatetrace.org/,2021,1497000,https://api.climatetrace.org/,2019,918200000,https://unstats.un.org/unsd/energystats/data/
country/HKG,Hong Kong,2018,44305000000,https://unstats.un.org/unsd/energystats/data/,2021,27021000,https://api.climatetrace.org/,2021,27021000,https://api.climatetrace.org/,2021,27021000,https://api.climatetrace.org/,2018,4303000000,https://unstats.un.org/unsd/energystats/data/
country/IDN,Indonesia,2018,251796000000,https://unstats.un.org/unsd/energystats/data/,2021,220493000,https://api.climatetrace.org/,2021,220493000,https://api.climatetrace.org/,2021,220493000,https://api.climatetrace.org/,2018,25093000000,https://unstats.un.org/unsd/energystats/data/
country/IND,India,2018,1158311000000,https://unstats.un.org/unsd/energystats/data/,2021,1196389000,https://api.climatetrace.org/,2021,1196389000,https://api.climatetrace.org/,2021,1196389000,https://api.climatetrace.org/,2019-03-01,270166700000,https://niti.gov.in/edm/
country/IOT,British Indian Ocean Territory,,,,2021,55000,https://api.climatetrace.org/,2021,55000,https://api.climatetrace.org/,2021,55000,https://api.climatetrace.org/,,,
country/IRN,Iran,2018,259753000000,https://unstats.un.org/unsd/energystats/data/,2021,179529000,https://api.climatetrace.org/,2021,179529000,https://api.climatetrace.org/,2021,179529000,https://api.climatetrace.org/,2018,32853000000,https://unstats.un.org/unsd/energystats/data/
country/IRQ,Iraq,2018,39594000000,https://unstats.un.org/unsd/energystats/data/,2021,79750000,https://api.climatetrace.org/,2021,79750000,https://api.climatetrace.org/,2021,79750000,https://api.climatetrace.org/,2018,55472000000,https://unstats.un.org/unsd/energystats/data/
country/ISR,Israel,2018,57481000000,https://unstats.un.org/unsd/energystats/data/,2021,41910000,https://api.climatetrace.org/,2021,41910000,https://api.climatetrace.org/,2021,41910000,https://api.climatetrace.org/,2018,2514000000,https://unstats.un.org/unsd/energystats/data/
country/JOR,Jordan,2018,17493600000,https://unstats.un.org/unsd/energystats/data/,2021,10633000,https://api.climatetrace.org/,2021,10633000,https://api.climatetrace.org/,2021,10633000,https://api.climatetrace.org/,2018,2094000000,https://unstats.un.org/unsd/energystats/data/
country/JPN,Japan,2018,945534000000,https://unstats.un.org/unsd/energystats/data/,2021,420695000,https://api.climatetrace.org/,2021,420695000,https://api.climatetrace.org/,2021,420695000,https://api.climatetrace.org/,2018,44999000000,https://unstats.un.org/unsd/energystats/data/
country/KAZ,Kazakhstan,2018,80328000000,https://unstats.un.org/unsd/energystats/data/,2021,62684000,https://api.climatetrace.org/,2021,62684000,https://api.climatetrace.org/,2021,62684000,https://api.climatetrace.org/,2018,2248000000,https://unstats.un.org/unsd/energystats/data/
country/KGZ,Kyrgyzstan,2018,11864000000,https://unstats.un.org/unsd/energystats/data/,2021,753000,https://api.climatetrace.org/,2021,753000,https://api.climatetrace.org/,2021,753000,https://api.climatetrace.org/,2018,2814000000,https://unstats.un.org/unsd/energystats/data/
country/KHM,Cambodia,2018,8215000000,https://unstats.un.org/unsd/energystats/data/,2021,4345000,https://api.climatetrace.org/,2021,4345000,https://api.climatetrace.org/,2021,4345000,https://api.climatetrace.org/,2018,1090000000,https://unstats.un.org/unsd/energystats/data/
country/KOR,South Korea,2018,531373000000,https://unstats.un.org/unsd/energystats/data/,2021,258391000,https://api.climatetrace.org/,2021,258391000,https://api.climatetrace.org/,2021,258391000,https://api.climatetrace.org/,2018,18183000000,https://unstats.un.org/unsd/energystats/data/
country/KWT,Kuwait,2018,42761500000,https://unstats.un.org/unsd/energystats/data/,2021,44529000,https://api.climatetrace.org/,2021,44529000,https://api.climatetrace.org/,2021,44529000,https://api.climatetrace.org/,2018,6545800000,https://unstats.un.org/unsd/energystats/data/
country/LAO,Laos,2018,5142300000,https://unstats.un.org/unsd/energystats/data/,2021,12348000,https://api.climatetrace.org/,2021,12348000,https://api.climatetrace.org/,2021,12348000,https://api.climatetrace.org/,2018,1993600000,https://unstats.un.org/unsd/energystats/data/
country/LBN,Lebanon,2019,21637000000,https://unstats.un.org/unsd/energystats/data/,2021,6310000,https://api.climatetrace.org/,2021,6310000,https://api.climatetrace.org/,2021,6310000,https://api.climatetrace.org/,2019,2140000000,https://unstats.un.org/unsd/energystats/data/
country/LKA,Sri Lanka,2018,14119000000,https://unstats.un.org/unsd/energystats/data/,2021,9525000,https://api.climatetrace.org/,2021,9525000,https://api.climatetrace.org/,2021,9525000,https://api.climatetrace.org/,2018,1407000000,https://unstats.un.org/unsd/energystats/data/
country/MAC,Macau,2018,5567000000,https://unstats.un.org/unsd/energystats/data/,2020,657000,https://api.climatetrace.org/,2020,657000,https://api.climatetrace.org/,2020,657000,https://api.climatetrace.org/,2018,150000000,https://unstats.un.org/unsd/energystats/data/
country/MDV,Maldives,2018,730000000,https://unstats.un.org/unsd/energystats/data/,2021,496000,https://api.climatetrace.org/,2021,496000,https://api.climatetrace.org/,2021,496000,https://api.climatetrace.org/,2018,21000000,https://unstats.un.org/unsd/energystats/data/
country/MMR,Myanmar [Burma],2018,18544000000,https://unstats.un.org/unsd/energystats/data/,2021,10817000,https://api.climatetrace.org/,2021,10817000,https://api.climatetrace.org/,2021,10817000,https://api.climatetrace.org/,2018,3432000000,https://unstats.un.org/unsd/energystats/data/
country/MNG,Mongolia,2018,6449700000,https://unstats.un.org/unsd/energystats/data/,2021,8569000,https://api.climatetrace.org/,2021,8569000,https://api.climatetrace.org/,2021,8569000,https://api.climatetrace.org/,2018,875300000,https://unstats.un.org/unsd/energystats/data/
country/MYS,Malaysia,2018,152866000000,https://unstats.un.org/unsd/energystats/data/,2021,111254000,https://api.climatetrace.org/,2021,111254000,https://api.climatetrace.org/,2021,111254000,https://api.climatetrace.org/,2018,14109000000,https://unstats.un.org/unsd/energystats/data/
country/NPL,Nepal,2018,6503000000,https://unstats.un.org/unsd/energystats/data/,,,,,,,,,,2018,1157000000,https://unstats.un.org/unsd/energystats/data/
country/OMN,Oman,2018,33548000000,https://unstats.un.org/unsd/energystats/data/,2021,17004000,https://api.climatetrace.org/,2021,17004000,https://api.climatetrace.org/,2021,17004000,https://api.climatetrace.org/,2018,3645000000,https://unstats.un.org/unsd/energystats/data/
country/PAK,Pakistan,2018,107266930000,https://unstats.un.org/unsd/energystats/data/,2021,86328000,https://api.climatetrace.org/,2021,86328000,https://api.climatetrace.org/,2021,86328000,https://api.climatetrace.org/,2018,23978000000,https://unstats.un.org/unsd/energystats/data/
country/PHL,Philippines,2019,86776700000,https://unstats.un.org/unsd/energystats/data/,2021,75245000,https://api.climatetrace.org/,2021,75245000,https://api.climatetrace.org/,2021,75245000,https://api.climatetrace.org/,2019,8929100000,https://unstats.un.org/unsd/energystats/data/
country/PRK,North Korea,2018,11530000000,https://unstats.un.org/unsd/energystats/data/,2021,2015000,https://api.climatetrace.org/,2021,2015000,https://api.climatetrace.org/,2021,2015000,https://api.climatetrace.org/,2018,2439000000,https://unstats.un.org/unsd/energystats/data/
country/PSE,Palestinian Territories,2018,5575800000,https://unstats.un.org/unsd/energystats/data/,2021,454000,https://api.climatetrace.org/,2021,454000,https://api.climatetrace.org/,2021,454000,https://api.climatetrace.org/,2018,760300000,https://unstats.un.org/unsd/energystats/data/
country/QAT,Qatar,2018,41868000000,https://unstats.un.org/unsd/energystats/data/,2021,22072000,https://api.climatetrace.org/,2021,22072000,https://api.climatetrace.org/,2021,22072000,https://api.climatetrace.org/,2018,2786000000,https://unstats.un.org/unsd/energystats/data/
country/RUS,Russia,2018,759581657000,https://unstats.un.org/unsd/energystats/data/,2021,552526000,https://api.climatetrace.org/,2021,552526000,https://api.climatetrace.org/,2021,552526000,https://api.climatetrace.org/,2018,103119100000,https://unstats.un.org/unsd/energystats/data/
country/SAU,Saudi Arabia,2019,215324000000,https://unstats.un.org/unsd/energystats/data/,2021,272845000,https://api.climatetrace.org/,2021,272845000,https://api.climatetrace.org/,2021,272845000,https://api.climatetrace.org/,2019,31055000000,https://unstats.un.org/unsd/energystats/data/
country/SGP,Singapore,2018,50448800000,https://unstats.un.org/unsd/energystats/data/,2021,22139000,https://api.climatetrace.org/,2021,22139000,https://api.climatetrace.org/,2021,22139000,https://api.climatetrace.org/,2018,2303100000,https://unstats.un.org/unsd/energystats/data/
country/SYR,Syria,2018,13205000000,https://unstats.un.org/unsd/energystats/data/,2021,9847000,https://api.climatetrace.org/,2021,9847000,https://api.climatetrace.org/,2021,9847000,https://api.climatetrace.org/,2018,2382000000,https://unstats.un.org/unsd/energystats/data/
country/THA,Thailand,2018,188048000000,https://unstats.un.org/unsd/energystats/data/,2021,143139000,https://api.climatetrace.org/,2021,143139000,https://api.climatetrace.org/,2021,143139000,https://api.climatetrace.org/,2018,12904000000,https://unstats.un.org/unsd/energystats/data/
country/TJK,Tajikistan,2018,13889900000,https://unstats.un.org/unsd/energystats/data/,2021,1000000,https://api.climatetrace.org/,2021,1000000,https://api.climatetrace.org/,2021,1000000,https://api.climatetrace.org/,2018,2967500000,https://unstats.un.org/unsd/energystats/data/
country/TKM,Turkmenistan,2018,12473000000,https://unstats.un.org/unsd/energystats/data/,2021,19860000,https://api.climatetrace.org/,2021,19860000,https://api.climatetrace.org/,2021,19860000,https://api.climatetrace.org/,2018,2895000000,https://unstats.un.org/unsd/energystats/data/
country/TLS,East Timor,2019,384247000,https://unstats.un.org/unsd/energystats/data/,2021,421000,https://api.climatetrace.org/,2021,421000,https://api.climatetrace.org/,2021,421000,https://api.climatetrace.org/,2019,103000000,https://unstats.un.org/unsd/energystats/data/
country/TUR,Turkey,2018,254934000000,https://unstats.un.org/unsd/energystats/data/,2021,130223000,https://api.climatetrace.org/,2021,130223000,https://api.climatetrace.org/,2021,130223000,https://api.climatetrace.org/,2018,31635000000,https://unstats.un.org/unsd/energystats/data/
country/TWN,Taiwan,2018,247406000000,https://unstats.un.org/unsd/energystats/data/,2021,167390000,https://api.climatetrace.org/,2021,167390000,https://api.climatetrace.org/,2021,167390000,https://api.climatetrace.org/,2018,9200000000,https://unstats.un.org/unsd/energystats/data/
country/UZB,Uzbekistan,2019,54174808000,https://unstats.un.org/unsd/energystats/data/,2021,44999000,https://api.climatetrace.org/,2021,44999000,https://api.climatetrace.org/,2021,44999000,https://api.climatetrace.org/,2019,3858000000,https://unstats.un.org/unsd/energystats/data/
country/VNM,Vietnam,2018,192701000000,https://unstats.un.org/unsd/energystats/data/,2021,103272000,https://api.climatetrace.org/,2021,103272000,https://api.climatetrace.org/,2021,103272000,https://api.climatetrace.org/,2018,14728222222.2222,https://unstats.un.org/unsd/energystats/data/
country/YEM,Yemen,2018,2192000000,https://unstats.un.org/unsd/energystats/data/,2021,2108000,https://api.climatetrace.org/,2021,2108000,https://api.climatetrace.org/,2021,2108000,https://api.climatetrace.org/,2018,767000000,https://unstats.un.org/unsd/energystats/data/
