placeDcid,placeName,Date:Annual_Consumption_Electricity,Value:Annual_Consumption_Electricity,Source:Annual_Consumption_Electricity,Date:Annual_Loss_Electricity,Value:Annual_Loss_Electricity,Source:Annual_Loss_Electricity,Date:Annual_Emissions_CarbonDioxide_ElectricityGeneration,Value:Annual_Emissions_CarbonDioxide_ElectricityGeneration,Source:Annual_Emissions_CarbonDioxide_ElectricityGeneration,Date:Annual_Emissions_CarbonDioxideEquivalent20YearGlobalWarmingPotential_ElectricityGeneration,Value:Annual_Emissions_CarbonDioxideEquivalent20YearGlobalWarmingPotential_ElectricityGeneration,Source:Annual_Emissions_CarbonDioxideEquivalent20YearGlobalWarmingPotential_ElectricityGeneration,Date:Annual_Emissions_CarbonDioxideEquivalent100YearGlobalWarmingPotential_ElectricityGeneration,Value:Annual_Emissions_CarbonDioxideEquivalent100YearGlobalWarmingPotential_ElectricityGeneration,Source:Annual_Emissions_CarbonDioxideEquivalent100YearGlobalWarmingPotential_ElectricityGeneration
country/ALB,Albania,2019,6179270000,https://unstats.un.org/unsd/energystats/data/,2019,1081830000,https://unstats.un.org/unsd/energystats/data/,,,,,,,,,
country/AND,Andorra,2019,489840000,https://unstats.un.org/unsd/energystats/data/,2019,65650000,https://unstats.un.org/unsd/energystats/data/,2021,115000,https://api.climatetrace.org/,2021,115000,https://api.climatetrace.org/,2021,115000,https://api.climatetrace.org/
country/ANT,Netherlands Antilles,2011,989000000,https://unstats.un.org/unsd/energystats/data/,2011,212000000,https://unstats.un.org/unsd/energystats/data/,,,,,,,,,
country/ARM,Armenia,2018,5402561000,https://unstats.un.org/unsd/energystats/data/,2018,611435000,https://unstats.un.org/unsd/energystats/data/,2021,1845000,https://api.climatetrace.org/,2021,1845000,https://api.climatetrace.org/,2021,1845000,https://api.climatetrace.org/
country/AUT,Austria,2018,63074000000,https://unstats.un.org/unsd/energystats/data/,2018,3459000000,https://unstats.un.org/unsd/energystats/data/,2021,12158000,https://api.climatetrace.org/,2021,12158000,https://api.climatetrace.org/,2021,12158000,https://api.climatetrace.org/
country/AZE,Azerbaijan,2018,17811500000,https://unstats.un.org/unsd/energystats/data/,2018,2219800000,https://unstats.un.org/unsd/energystats/data/,2021,16250000,https://api.climatetrace.org/,2021,16250000,https://api.climatetrace.org/,2021,16250000,https://api.climatetrace.org/
country/BEL,Belgium,2018,82755000000,https://unstats.un.org/unsd/energystats/data/,2018,3798000000,https://unstats.un.org/unsd/energystats/data/,2021,18000000,https://api.climatetrace.org/,2021,18000000,https://api.climatetrace.org/,2021,18000000,https://api.climatetrace.org/
country/BGR,Bulgaria,2018,29895000000,https://unstats.un.org/unsd/energystats/data/,2018,3102000000,https://unstats.un.org/unsd/energystats/data/,2021,22458000,https://api.climatetrace.org/,2021,22458000,https://api.climatetrace.org/,2021,22458000,https://api.climatetrace.org/
country/BIH,Bosnia and Herzegovina,2018,11456000000,https://unstats.un.org/unsd/energystats/data/,2018,1349000000,https://unstats.un.org/unsd/energystats/data/,2021,9905000,https://api.climatetrace.org/,2021,9905000,https://api.climatetrace.org/,2021,9905000,https://api.climatetrace.org/
country/BLR,Belarus,2019,16504500000,https://unstats.un.org/unsd/energystats/data/,2019,2711000000,https://unstats.un.org/unsd/energystats/data/,2021,16212000,https://api.climatetrace.org/,2021,16212000,https://api.climatetrace.org/,2021,16212000,https://api.climatetrace.org/
country/CHE,Switzerland,,,,,,,2021,4333000,https://api.climatetrace.org/,2021,4333000,https://api.climatetrace.org/,2021,4333000,https://api.climatetrace.org/
country/CYP,Cyprus,2018,4664000000,https://unstats.un.org/unsd/energystats/data/,2017,228000000,https://unstats.un.org/unsd/energystats/data/,2021,3317000,https://api.climatetrace.org/,2021,3317000,https://api.climatetrace.org/,2021,3317000,https://api.climatetrace.org/
country/CZE,Czech Republic,2018,58004000000,https://unstats.un.org/unsd/energystats/data/,2018,4269000000,https://unstats.un.org/unsd/energystats/data/,2021,40546000,https://api.climatetrace.org/,2021,40546000,https://api.climatetrace.org/,2021,40546000,https://api.climatetrace.org/
country/DEU,Germany,2018,512934000000,https://unstats.un.org/unsd/energystats/data/,2018,26661000000,https://unstats.un.org/unsd/energystats/data/,2021,247500000,https://api.climatetrace.org/,2021,247500000,https://api.climatetrace.org/,2021,247500000,https://api.climatetrace.org/
country/DNK,Denmark,2018,31084000000,https://unstats.un.org/unsd/energystats/data/,2018,2203000000,https://unstats.un.org/unsd/energystats/data/,2021,16649000,https://api.climatetrace.org/,2021,16649000,https://api.climatetrace.org/,2021,16649000,https://api.climatetrace.org/
country/ESP,Spain,2018,238465000000,https://unstats.un.org/unsd/energystats/data/,2018,25417000000,https://unstats.un.org/unsd/energystats/data/,2021,48820000,https://api.climatetrace.org/,2021,48820000,https://api.climatetrace.org/,2021,48820000,https://api.climatetrace.org/
country/EST,Estonia,2018,7491000000,https://unstats.un.org/unsd/energystats/data/,2018,744000000,https://unstats.un.org/unsd/energystats/data/,2021,6648000,https://api.climatetrace.org/,2021,6648000,https://api.climatetrace.org/,2021,6648000,https://api.climatetrace.org/
country/FIN,Finland,2018,82769000000,https://unstats.un.org/unsd/energystats/data/,2018,3024000000,https://unstats.un.org/unsd/energystats/data/,2021,24164000,https://api.climatetrace.org/,2021,24164000,https://api.climatetrace.org/,2021,24164000,https://api.climatetrace.org/
country/FRA,France,,,,,,,2021,36891000,https://api.climatetrace.org/,2021,36891000,https://api.climatetrace.org/,2021,36891000,https://api.climatetrace.org/
country/FRO,Faroe Islands,2019,350425000,https://unstats.un.org/unsd/energystats/data/,2019,23160000,https://unstats.un.org/unsd/energystats/data/,2021,199000,https://api.climatetrace.org/,2021,199000,https://api.climatetrace.org/,2021,199000,https://api.climatetrace.org/
country/GBR,United Kingdom,2018,299760000000,https://unstats.un.org/unsd/energystats/data/,2018,26599000000,https://unstats.un.org/unsd/energystats/data/,2021,106590000,https://api.climatetrace.org/,2021,106590000,https://api.climatetrace.org/,2021,106590000,https://api.climatetrace.org/
country/GEO,Georgia,2018,11937300000,https://unstats.un.org/unsd/energystats/data/,2019,918200000,https://unstats.un.org/unsd/energystats/data/,2021,1497000,https://api.climatetrace.org/,2021,1497000,https://api.climatetrace.org/,2021,1497000,https://api.climatetrace.org/
country/GGY,Guernsey,2019,347500000,https://unstats.un.org/unsd/energystats/data/,2018,24800000,https://unstats.un.org/unsd/energystats/data/,2020,166000,https://api.climatetrace.org/,2020,166000,https://api.climatetrace.org/,2020,166000,https://api.climatetrace.org/
country/GIB,Gibraltar,2018,204000000,https://unstats.un.org/unsd/energystats/data/,2018,6500000,https://unstats.un.org/unsd/energystats/data/,2021,130000,https://api.climatetrace.org/,2021,130000,https://api.climatetrace.org/,2021,130000,https://api.climatetrace.org/
country/GLP,Guadeloupe,2016,1556000000,https://unstats.un.org/unsd/energystats/data/,2016,232000000,https://unstats.un.org/unsd/energystats/data/,2021,1045000,https://api.climatetrace.org/,2021,1045000,https://api.climatetrace.org/,2021,1045000,https://api.climatetrace.org/
country/GRC,Greece,2018,49470000000,https://unstats.un.org/unsd/energystats/data/,2018,5242000000,https://unstats.un.org/unsd/energystats/data/,2021,16551000,https://api.climatetrace.org/,2021,16551000,https://api.climatetrace.org/,2021,16551000,https://api.climatetrace.org/
country/GUF,French Guiana,2016,835000000,https://unstats.un.org/unsd/energystats/data/,2016,92000000,https://unstats.un.org/unsd/energystats/data/,2021,492000,https://api.climatetrace.org/,2021,492000,https://api.climatetrace.org/,2021,492000,https://api.climatetrace.org/
country/HRV,Croatia,2018,16174000000,https://unstats.un.org/unsd/energystats/data/,2018,1824000000,https://unstats.un.org/unsd/energystats/data/,2021,3275000,https://api.climatetrace.org/,2021,3275000,https://api.climatetrace.org/,2021,3275000,https://api.climatetrace.org/
country/HUN,Hungary,2018,39426000000,https://unstats.un.org/unsd/energystats/data/,2018,3357000000,https://unstats.un.org/unsd/energystats/data/,2021,9095000,https://api.climatetrace.org/,2021,9095000,https://api.climatetrace.org/,2021,9095000,https://api.climatetrace.org/
country/IMN,Isle of Man,2018,362000000,https://unstats.un.org/unsd/energystats/data/,2019,30000000,https://unstats.un.org/unsd/energystats/data/,2021,584000,https://api.climatetrace.org/,2021,584000,https://api.climatetrace.org/,2021,584000,https://api.climatetrace.org/
country/IRL,Ireland,2018,27145000000,https://unstats.un.org/unsd/energystats/data/,2018,2236000000,https://unstats.un.org/unsd/energystats/data/,2021,10825000,https://api.climatetrace.org/,2021,10825000,https://api.climatetrace.org/,2021,10825000,https://api.climatetrace.org/
country/ISL,Iceland,2018,18487000000,https://unstats.un.org/unsd/energystats/data/,2018,554000000,https://unstats.un.org/unsd/energystats/data/,,,,,,,,,
country/ITA,Italy,,,,,,,2021,89403000,https://api.climatetrace.org/,2021,89403000,https://api.climatetrace.org/,2021,89403000,https://api.climatetrace.org/
country/JEY,Jersey,2018,633480000,https://unstats.un.org/unsd/energystats/data/,2017,53430000,https://unstats.un.org/unsd/energystats/data/,2018,45000,https://api.climatetrace.org/,2018,45000,https://api.climatetrace.org/,2018,45000,https://api.climatetrace.org/
country/KAZ,Kazakhstan,2018,80328000000,https://unstats.un.org/unsd/energystats/data/,2018,2248000000,https://unstats.un.org/unsd/energystats/data/,2021,62684000,https://api.climatetrace.org/,2021,62684000,https://api.climatetrace.org/,2021,62684000,https://api.climatetrace.org/
country/LIE,Liechtenstein,2019,409900000,https://unstats.un.org/unsd/energystats/data/,,,,2021,3000,https://api.climatetrace.org/,2021,3000,https://api.climatetrace.org/,2021,3000,https://api.climatetrace.org/
country/LTU,Lithuania,2018,10403000000,https://unstats.un.org/unsd/energystats/data/,2018,935000000,https://unstats.un.org/unsd/energystats/data/,2021,1496000,https://api.climatetrace.org/,2021,1496000,https://api.climatetrace.org/,2021,1496000,https://api.climatetrace.org/
country/LUX,Luxembourg,2018,6424000000,https://unstats.un.org/unsd/energystats/data/,2018,155000000,https://unstats.un.org/unsd/energystats/data/,2021,291000,https://api.climatetrace.org/,2021,291000,https://api.climatetrace.org/,2021,291000,https://api.climatetrace.org/
country/LVA,Latvia,2018,6661000000,https://unstats.un.org/unsd/energystats/data/,2018,448000000,https://unstats.un.org/unsd/energystats/data/,2021,1451000,https://api.climatetrace.org/,2021,1451000,https://api.climatetrace.org/,2021,1451000,https://api.climatetrace.org/
country/MAF,Saint Martin (French part),,,,,,,2021,312000,https://api.climatetrace.org/,2021,312000,https://api.climatetrace.org/,2021,312000,https://api.climatetrace.org/
country/MCO,Monaco,,,,,,,2021,18000,https://api.climatetrace.org/,2021,18000,https://api.climatetrace.org/,2021,18000,https://api.climatetrace.org/
country/MDA,Moldova,2018,3841000000,https://unstats.un.org/unsd/energystats/data/,2018,441000000,https://unstats.un.org/unsd/energystats/data/,2021,4770000,https://api.climatetrace.org/,2021,4770000,https://api.climatetrace.org/,2021,4770000,https://api.climatetrace.org/
country/MKD,Macedonia [FYROM],2018,6105462000,https://unstats.un.org/unsd/energystats/data/,2018,994814000,https://unstats.un.org/unsd/energystats/data/,2021,2369000,https://api.climatetrace.org/,2021,2369000,https://api.climatetrace.org/,2021,2369000,https://api.climatetrace.org/
country/MLT,Malta,2018,2391000000,https://unstats.un.org/unsd/energystats/data/,2018,143000000,https://unstats.un.org/unsd/energystats/data/,2021,843000,https://api.climatetrace.org/,2021,843000,https://api.climatetrace.org/,2021,843000,https://api.climatetrace.org/
country/MNE,Montenegro,2019,3054200000,https://unstats.un.org/unsd/energystats/data/,2019,492900000,https://unstats.un.org/unsd/energystats/data/,2021,1188000,https://api.climatetrace.org/,2021,1188000,https://api.climatetrace.org/,2021,1188000,https://api.climatetrace.org/
country/MTQ,Martinique,2016,1445900000,https://unstats.un.org/unsd/energystats/data/,2016,113500000,https://unstats.un.org/unsd/energystats/data/,2021,1440000,https://api.climatetrace.org/,2021,1440000,https://api.climatetrace.org/,2021,1440000,https://api.climatetrace.org/
country/MYT,Mayotte,2016,301800000,https://unstats.un.org/unsd/energystats/data/,2014,10000000,https://unstats.un.org/unsd/energystats/data/,2021,423000,https://api.climatetrace.org/,2021,423000,https://api.climatetrace.org/,2021,423000,https://api.climatetrace.org/
country/NLD,Netherlands,2018,107967000000,https://unstats.un.org/unsd/energystats/data/,2018,5334000000,https://unstats.un.org/unsd/energystats/data/,2021,38526000,https://api.climatetrace.org/,2021,38526000,https://api.climatetrace.org/,2021,38526000,https://api.climatetrace.org/
country/NOR,Norway,,,,,,,2021,873000,https://api.climatetrace.org/,2021,873000,https://api.climatetrace.org/,2021,873000,https://api.climatetrace.org/
country/POL,Poland,2018,140471000000,https://unstats.un.org/unsd/energystats/data/,2018,8894000000,https://unstats.un.org/unsd/energystats/data/,2021,154068000,https://api.climatetrace.org/,2021,154068000,https://api.climatetrace.org/,2021,154068000,https://api.climatetrace.org/
country/PRT,Portugal,2018,47960000000,https://unstats.un.org/unsd/energystats/data/,2018,5060000000,https://unstats.un.org/unsd/energystats/data/,2021,11101000,https://api.climatetrace.org/,2021,11101000,https://api.climatetrace.org/,2021,11101000,https://api.climatetrace.org/
country/PYF,French Polynesia,2019,620000000,https://unstats.un.org/unsd/energystats/data/,2019,70000000,https://unstats.un.org/unsd/energystats/data/,2021,376000,https://api.climatetrace.org/,2021,376000,https://api.climatetrace.org/,2021,376000,https://api.climatetrace.org/
country/REU,R̩union,2016,2708500000,https://unstats.un.org/unsd/energystats/data/,2016,235100000,https://unstats.un.org/unsd/energystats/data/,2021,2465000,https://api.climatetrace.org/,2021,2465000,https://api.climatetrace.org/,2021,2465000,https://api.climatetrace.org/
country/ROU,Romania,2018,45568000000,https://unstats.un.org/unsd/energystats/data/,2018,7056000000,https://unstats.un.org/unsd/energystats/data/,2021,11227000,https://api.climatetrace.org/,2021,11227000,https://api.climatetrace.org/,2021,11227000,https://api.climatetrace.org/
country/RUS,Russia,2018,759581657000,https://unstats.un.org/unsd/energystats/data/,2018,103119100000,https://unstats.un.org/unsd/energystats/data/,2021,552526000,https://api.climatetrace.org/,2021,552526000,https://api.climatetrace.org/,2021,552526000,https://api.climatetrace.org/
country/SHN,Saint Helena,2019,10222000,https://unstats.un.org/unsd/energystats/data/,2019,1688000,https://unstats.un.org/unsd/energystats/data/,2021,7000,https://api.climatetrace.org/,2021,7000,https://api.climatetrace.org/,2021,7000,https://api.climatetrace.org/
country/SPM,Saint Pierre and Miquelon,2019,49240000,https://unstats.un.org/unsd/energystats/data/,2019,1733000,https://unstats.un.org/unsd/energystats/data/,2021,43000,https://api.climatetrace.org/,2021,43000,https://api.climatetrace.org/,2021,43000,https://api.climatetrace.org/
country/SRB,Serbia,2018,28049000000,https://unstats.un.org/unsd/energystats/data/,2018,4532000000,https://unstats.un.org/unsd/energystats/data/,2021,23989000,https://api.climatetrace.org/,2021,23989000,https://api.climatetrace.org/,2021,23989000,https://api.climatetrace.org/
country/SVK,Slovakia,2018,25935000000,https://unstats.un.org/unsd/energystats/data/,2018,1235000000,https://unstats.un.org/unsd/energystats/data/,2021,7429000,https://api.climatetrace.org/,2021,7429000,https://api.climatetrace.org/,2021,7429000,https://api.climatetrace.org/
country/SVN,Slovenia,2018,13717000000,https://unstats.un.org/unsd/energystats/data/,2018,880000000,https://unstats.un.org/unsd/energystats/data/,2021,3782000,https://api.climatetrace.org/,2021,3782000,https://api.climatetrace.org/,2021,3782000,https://api.climatetrace.org/
country/SWE,Sweden,2018,127562000000,https://unstats.un.org/unsd/energystats/data/,2018,10537000000,https://unstats.un.org/unsd/energystats/data/,2021,9707000,https://api.climatetrace.org/,2021,9707000,https://api.climatetrace.org/,2021,9707000,https://api.climatetrace.org/
country/TCA,Turks and Caicos Islands,2019,241200000,https://unstats.un.org/unsd/energystats/data/,2019,12500000,https://unstats.un.org/unsd/energystats/data/,2021,207000,https://api.climatetrace.org/,2021,207000,https://api.climatetrace.org/,2021,207000,https://api.climatetrace.org/
country/TUR,Turkey,2018,254934000000,https://unstats.un.org/unsd/energystats/data/,2018,31635000000,https://unstats.un.org/unsd/energystats/data/,2021,130223000,https://api.climatetrace.org/,2021,130223000,https://api.climatetrace.org/,2021,130223000,https://api.climatetrace.org/
country/UKR,Ukraine,2018,118657000000,https://unstats.un.org/unsd/energystats/data/,2018,16996000000,https://unstats.un.org/unsd/energystats/data/,2021,45077000,https://api.climatetrace.org/,2021,45077000,https://api.climatetrace.org/,2021,45077000,https://api.climatetrace.org/
country/WLF,Wallis and Futuna,2019,17191000,https://unstats.un.org/unsd/energystats/data/,2019,845000,https://unstats.un.org/unsd/energystats/data/,2021,16000,https://api.climatetrace.org/,2021,16000,https://api.climatetrace.org/,2021,16000,https://api.climatetrace.org/
country/XKS,Kosovo,2018,4398000000,https://unstats.un.org/unsd/energystats/data/,2018,1125000000,https://unstats.un.org/unsd/energystats/data/,,,,,,,,,
country/YUG,Yugoslavia,1991,64400000000,https://unstats.un.org/unsd/energystats/data/,1991,7400000000,https://unstats.un.org/unsd/energystats/data/,,,,,,,,,
